0;sefa;yıldız;05458781478;sefayıldız;sefa.123;
1;belma;kova;05328745478;belmakova;belma.456;
2;furkan;kaya;05478458936;furkankaya;furkan.789;
3;reyhan;uğuz;05369845123;reyhanuğuz;reyhan.147;
4;ahmet;kuvvetli;05364521212;ahmetkuvvetli;ahmet.159;
5;cemil;elmas;05584554744;cemilelmas;cemil.123;
6;tülin;uçar;05365451112;tülinuçar;tülin.123;
7;cemil;yüksek;055512335687;cemilyüksek;cemil.123;
8;salih;bektaş;05548774589;salihbektaş;salih.123;
9;oya;yeşil;05565441144;oyayeşil;oya.684;
10;bekir;yılmaz;05457448999;bekiryılmaz;bekir.123;
11;yücel;ceviz;0545451114;yücelceviz;yücel.999;
12;zeliha;asrın;05556661212;zelihaasrın;zeliha.123;
13;aslı;karzan;0556656699;aslıkarzan;asli.141;
